City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Gandhinagar,Adalaj,Flat,3 BHK,30000,Semi furnished,2061 sq.ft,"Lift, Parking, Power Backup, Garden",Trushal Prajapati,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,27000,Fully furnished,1359 sq.ft,"Gym, Lift, Parking, Power Backup",Cnikhilesh04,N/A,N/A
Gandhinagar,Raysan,Flat,2 BHK,17000,Un-furnished,1170 sq.ft,Parking,Realtor Dipesh Shah,N/A,N/A
Gandhinagar,Randesan,Flat,3 BHK,36500,Semi furnished,1190 sq.ft,"Gymnasium, Fire Fighting Systems, 24x7 Security, Lift",URBANEDGE LIVING SPACE,N/A,N/A
Gandhinagar,Sargasan,Flat,3 BHK,23000,Semi furnished,2245 sq.ft,Parking,Vagabond Estate,N/A,N/A
Gandhinagar,Kudasan,Flat,2 BHK,18000,Semi furnished,600 sq.ft,Parking,Getyourkey55,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,30000,Fully furnished,1800 sq.ft,"Security Guards, Power Backup, Lift, 24x7 Security",Dwarkesh Property Experts,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,31000,Semi furnished,1600 sq.ft,"Gym, Lift, Parking, Power Backup",Dwarkesh Real Estate,N/A,N/A
Gandhinagar,Randesan,Flat,2 BHK,26000,Fully furnished,1359 sq.ft,"Parking, Gas Pipeline",Nikhil Parmar,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,22000,Semi furnished,1250 sq.ft,"Pool, Gym, Lift, Parking",A One Real Estate,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,23000,Fully furnished,1886 sq.ft,"24x7 Security, Power Backup, Service Lift, Lift",Devkruti Real Estate Cunsaltant,N/A,N/A
Gandhinagar,Kudasan,Flat,3 BHK,45000,Fully furnished,1200 sq.ft,"Pool, Gym, Lift, Parking",Palak Real Estate,N/A,N/A
Gandhinagar,Gujarat International Finance Tec City,Flat,2 BHK,41000,Fully furnished,1177 sq.ft,"Gym, Lift, Parking, Power Backup",Vikas Arora,N/A,N/A
Gandhinagar,Adalaj,Flat,3 BHK,30000,Semi furnished,1607 sq.ft,"Pool, Gym, Lift, Parking",Sridhara Realty,N/A,N/A
