City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
City,Locality / Area,Property Type,Bedrooms,Rent Price,Furnishing Status,Size,Amenities,Project/Owner Name,Contact / Listing Link,Additional Notes
Surat,N/A,Apartment,2 BHK,N/A,Semi Furnished,1300 sq.ft,N/A,N/A,N/A,N/A
Surat,N/A,flat,2 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surat,Vesu,Flat,4 BHK,130000,Fully furnished,3800 sq.ft,"Lift, Cycling & Jogging Track, Swimming Pool, Gymnasium","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,75000,Fully furnished,3000 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,2 BHK,27500,Fully furnished,1300 sq.ft,"Lift, Parking, Power Backup, Garden","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,2 BHK,30000,Fully furnished,1300 sq.ft,"Lift, Parking, Power Backup, Garden","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,65000,Un-furnished,3500 sq.ft,"Lift, Parking, Intercom, Garden","Builtup areaUn-furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,30000,Un-furnished,1825 sq.ft,"Lift, Parking, Power Backup, Garden","Builtup areaUn-furnished
Furnishing status",N/A,N/A
Surat,N/A,Apartment,3 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surat,N/A,Apartment,3 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surat,N/A,Apartment,3 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surat,N/A,Apartment,4 BHK,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surat,Vesu,Flat,3 BHK,40000,Semi furnished,1750 sq.ft,Parking,"Builtup areaSemi furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,45000,Un-furnished,1590 sq.ft,"Gym, Lift, Parking, Power Backup","Builtup areaUn-furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,1 BHK,5000,Semi furnished,750 sq.ft,"Lift, Water Supply, Gas Pipeline
K","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,150000,Fully furnished,2200 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,45000,Fully furnished,2150 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,5 BHK,65000,Fully furnished,3500 sq.ft,"Gym, Lift, Parking, Power Backup","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,N/A,Flat,1 BHK,N/A,Semi Furnished,750 sq.ft,N/A,"Updated yesterday

KalpeshOwner",N/A,N/A
Surat,N/A,Flat,4 BHK,N/A,Unfurnished,4250 sq.ft,N/A,"Updated yesterday

Parekh PropertyOwner",N/A,N/A
Surat,N/A,Flat,3 BHK,N/A,Fully Furnished,1800 sq.ft,N/A,"Updated yesterday

Bharat TutejaHousing Prime Agent",N/A,N/A
Surat,N/A,Flat,3 BHK,N/A,Fully Furnished,1775 sq.ft,N/A,"Updated yesterday

Bharat TutejaHousing Prime Agent",N/A,N/A
Surat,Vesu,Flat,3 BHK,27000,Un-furnished,2100 sq.ft,"Gym, Lift, Parking, Power Backup","Builtup areaUn-furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,151000,Fully furnished,3800 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,2 BHK,21000,Fully furnished,1000 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,2 BHK,23000,Semi furnished,1350 sq.ft,"Lift, Parking, Power Backup, Garden","Builtup areaSemi furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,29999,Fully furnished,2450 sq.ft,"Lift, Parking, Power Backup, Intercom","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,2 BHK,37000,Fully furnished,1200 sq.ft,"Parking, Gas Pipeline
S","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,2 BHK,20000,Un-furnished,1050 sq.ft,"Gym, Parking, Garden, Kids Area","Builtup areaUn-furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,34000,Fully furnished,2878 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Studio,2 BHK,16000,Fully furnished,1000 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,85000,Fully furnished,3950 sq.ft,"Gym, Lift, Parking, Power Backup","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,4 BHK,80000,Fully furnished,2885 sq.ft,"Community Hall, Gymnasium, 24x7 Security, Lift","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Villa,5 BHK,150000,Fully furnished,4000 sq.ft,Parking,"Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,35000,Un-furnished,2050 sq.ft,Parking,"Builtup areaUn-furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,70000,Fully furnished,3550 sq.ft,"Lift, Parking, Power Backup, Intercom","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,48000,Fully furnished,2380 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaFully furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,25000,Un-furnished,950 sq.ft,"Pool, Gym, Lift, Parking","Builtup areaUn-furnished
Furnishing status",N/A,N/A
Surat,Vesu,Flat,3 BHK,50000,Fully furnished,1800 sq.ft,"Gym, Lift, Parking, Power Backup","Builtup areaFully furnished
Furnishing status",N/A,N/A
